ID,Tipo,SKU,Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿En inventario?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Nombre del atributo 2,Valor(es) del atributo 2,Atributo visible 2,Atributo global 2,Nombre del atributo 3,Valor(es) del atributo 3,Atributo visible 3,Atributo global 3,
221,simple,2626923,Manguito corredizo aplicable a Mercedes Benz LS1933,1,0,visible,,,,,taxable,,backorder,4,,0,0,0.75,45,18,2.5,1,,," $  212,317.02 ","Camiones Clásicos , Camiones Clásicos > Transmisión , Camiones Clásicos > Transmisión > Caja , Camiones Clásicos > Transmisión > Caja > Desplazables",,,,,,,,,,,,0,Linea,Mercedes Benz,1,1,Modelo,LS1933,1,1,Marca,Euroricambi,1,1,
128,simple,2903212,Bombín de embrague aplicable a Mercedes Benz Sprinter 2.2,1,0,visible,,"Bombín de embrague aplicable a Mercedes Benz Sprinter 2.2
\n
\nAplicable a: Mercedes Benz
\n
\nMarca: Original
\n
\nCódigo de referencia: 0002903212
\n
\nOtros datos: 2.2 CDI (2002-2018), 2.5 D (1996-2000), VITO 2.2 CDI (1998-2009)
\n
\n&nbsp;
\n
\n&nbsp;
",,,taxable,,backorder,2,,0,0,0.15,5,0.25,20,1,,," $  110,026.08 ","Camiones Clásicos , Camiones Clásicos > Transmisión , Camiones Clásicos > Transmisión > Embrague , Camiones Clásicos > Transmisión > Embrague > Bombines de embrague",,,,,,,,,,,,0,Linea,Mercedes Benz,1,1,Modelo,Sprinter ,1,1,Marca,Original,1,1,
241,simple,3050240,Kit Satélite y Planetario aplicable a Mercedes Benz 1215/114,1,0,visible,,,,,taxable,,backorder,4,,0,0,5.9,264,12,22,1,,," $  292,873.98 ","Camiones Clásicos , Camiones Clásicos > Suspensión y Dirección , Camiones Clásicos > Suspensión y Dirección , Eje trasero > Satélites, planetarios y cruz",,,,,,,,,,,,0,Linea,Mercedes Benz,1,1,Modelo,1215/114,1,1,Marca,TIPH,1,1,
96,simple,3500145,Brida piñón diferencial alta y baja 8 agujeros aplicable a Mercedes Benz 1114 ,1,0,visible,,"Brida piñón diferencial alta y baja aplicable a Mercedes Benz 1114
\n
\nAplicable a: Mercedes Benz
\n
\nMarca: Cinpal
\n
\nCódigo de referencia: 919
\n
\nOtros datos: 8 Agujeros, Ø 44,5x10
\n
\n&nbsp;
\n
\n&nbsp;
",,,taxable,,backorder,3,,0,0,1.8,15,8,15,1,,," $  50,536.22 ","Camiones Clásicos , Camiones Clásicos > Transmisión , Camiones Clásicos > Transmisión > Cardan , Camiones Clásicos > Transmisión > Cardan > Bridas",,,,,,,,,,,,0,Linea,Mercedes Benz,1,1,Modelo,1114,1,1,Marca,Cinpal,1,1,
84,simple,3500345,Brida piñón aplicable a Mercedes Benz HL 4 1517/1214,1,0,visible,8 agujeros 34 Estrías,"Brida piñón aplicable a Mercedes Benz HL 4 1517/1214
\n
\nAplicable a: Mercedes Benz
\n
\nMarca: Pesaro
\n
\nCódigo de referencia: 911
\n
\nOtros datos: 8 agujeros 34 Estrías
\n
\n&nbsp;
\n
\n&nbsp;
",,,taxable,,backorder,2,,0,0,1.8,14,8,14,1,,," $  70,758.13 ","Camiones Clásicos , Camiones Clásicos > Transmisión , Camiones Clásicos > Transmisión > Cardan , Camiones Clásicos > Transmisión > Cardan > Bridas",,,,,,,,,,,,0,Linea,Mercedes Benz,1,1,Modelo,1517/1214,1,1,Marca,Pesaro,1,1,
71,simple,3530313,Olla porta corona derecha A/B aplicable a Mercedes Benz 1114/1215,1,0,visible,,"Olla porta corona derecha A/B aplicable a Mercedes Benz 1114/1215
\n
\nAplicable a: Mercedes Benz
\n
\nMarca: Cinpal.
\n
\nCódigo de referencia: 95.12.7860
\n
\nOtros datos: 
\n
\n&nbsp;
\n
\n&nbsp;


",,,taxable,,backorder,1,,0,0,7.5,17,25,17,1,,," $  71,767.65 ","Camiones Clásicos , Camiones Clásicos > Transmisión , Camiones Clásicos > Transmisión > Cardan , Camiones Clásicos > Transmisión > Cardan > Olla porta corona",,,,,,,,,,,,0,Linea,Mercedes Benz,1,1,Modelo,1114/1215,1,1,Marca,Cinpal,1,1,
76,simple,4100930,Brida de porta cruceta cardan aplicable a Mercedes Benz 1620 M/N,1,0,visible,,"Brida de porta cruceta cardan aplicable a Mercedes Benz 1620 M/N
\n
\nAplicable a: Mercedes Benz
\n
\nMarca: Spicer
\n
\nCódigo de referencia: C100.4.389
\n
\nOtros datos: 
\n
\n&nbsp;
\n
\n&nbsp;

",,,taxable,,backorder,1,,0,0,3.15,16,12,16,1,,," $  45,555.65 ","Camiones Clásicos , Camiones Clásicos > Transmisión , Camiones Clásicos > Transmisión > Cardan , Camiones Clásicos > Transmisión > Cardan > Bridas",,,,,,,,,,,,0,Linea,Mercedes Benz,1,1,Modelo,1620,1,1,Marca,Spicer,1,1,
16,simple,7600240,"Juego de manijas, tambores y llaves aplicables a Mercedez Benz L1634",1,0,visible,,"Juego de manijas, tambores y llaves aplicables a Mercedez Benz L1634
\n
\n Aplicable a Mercedes Benz L1634
\n
\n Marca: Mercedes Benz Original
\n
\nCódigo de Referencia: 7600240

\n",,,taxable,,backorder,4,,0,0,0.9,20,17,19,1,,," $  342,048.66 ","Camiones Clásicos , Camiones Clásicos > Accesorios , Camiones Clásicos > Accesorios, Cabina > Manijas y cerraduras",,,,,,,,,,,,0,Linea,Mercedes Benz,1,1,Modelo,L1634,1,1,Marca,Original,1,1,
225,simple,12603463,Cilindro caja de cambio aplicable a Mercedes Benz Actros ,1,0,visible,,,,,taxable,,backorder,2,,0,0,1,24,24,9,1,,," $  248,847.49 ","Camiones Clásicos , Camiones Clásicos > Transmisión , Camiones Clásicos > Transmisión > Caja>  , Camiones Clásicos > Transmisión > Caja>  > Cilindros",,,,,,,,,,,,0,Linea,Mercedes Benz,1,1,Modelo,Actros,1,1,Marca,AIR FREN,1,1,
208,simple,12959107,"Bombín embrague aplicable a Mercedes Benz L710, LO814",1,0,visible,,,,,taxable,,backorder,5,,0,0,1.3,11,11,22,1,,," $  40,369.14 ","Camiones Clásicos , Camiones Clásicos > Transmisión , Camiones Clásicos > Transmisión > Embrague , Camiones Clásicos > Transmisión > Embrague > Bombines de embrague",,,,,,,,,,,,0,Linea,Mercedes Benz,1,1,Modelo,"L710, LO814",1,1,Marca,Varga,1,1,
